HIGH,TRD_DT,CHG,SECU_CODE,VOLUME,TURN,PRE_CLOSE,LOW,SWING,CLOSE,ADJ_TYPE,PCT_CHG,OPEN,AMT
1.5657,19960906,0.0,000005.SZE,74543.0,5.9178,1.5344,1.4977,0.0448,1.5344,before,0.0,1.5214,46209966.6
1.5657,19960909,-0.01,000005.SZE,56196.0,4.4613,1.5344,1.4729,0.0608,1.5311,before,-0.16,1.5214,34764997.3
1.5290000000000001,19960910,-0.34,000005.SZE,44403.0,3.5251,1.5311,1.4232,0.0689,1.4481,before,-5.4487,1.5096,26849106.0
1.5096,19960911,0.09,000005.SZE,50243.0,3.9887,1.4481,1.4114,0.0678,1.4707,before,1.5254,1.4362,30129804.3
1.5096,19960912,-0.24,000005.SZE,52965.0,4.2048,1.4707,1.3013,0.1419,1.4114,before,-4.0067,1.4578,30760393.3
1.4383,19960913,0.11,000005.SZE,35080.0,2.7849,1.4114,1.3574,0.0574,1.4383,before,1.913,1.3995,20014848.9
1.4599,19960916,0.06,000005.SZE,36286.0,2.8807,1.4383,1.379,0.0563,1.4535,before,1.0239,1.4437,20847769.8
1.5344,19960917,0.27,000005.SZE,82625.0,6.5594,1.4535,1.4232,0.076,1.5193,before,4.5608,1.4535,50201579.5
1.5290000000000001,19960918,-0.45,000005.SZE,71596.0,5.6839,1.5193,1.3617,0.1099,1.4092,before,-7.2698,1.5193,42123772.6
1.4232,19960919,0.05,000005.SZE,30536.0,2.4242,1.4092,1.3519999999999999,0.0505,1.4211,before,0.8711,1.3747,17233199.7
1.4362,19960920,0.02,000005.SZE,27243.0,2.1628,1.4211,1.3995,0.0259,1.4265,before,0.3454,1.4232,15744493.1
1.4437,19960923,0.04,000005.SZE,20200.0,1.6036,1.4265,1.4092,0.0241,1.4362,before,0.6885,1.4308,11710866.1
1.4437,19960924,0.03,000005.SZE,25733.0,2.0429,1.4362,1.3995,0.0308,1.4437,before,0.5128,1.4265,14921098.1
1.4578,19960925,-0.13,000005.SZE,22826.0,1.8121,1.4437,1.3822,0.0527,1.4114,before,-2.2109,1.4502,13107400.3
1.4729,19960926,0.21,000005.SZE,53901.0,4.2791,1.4114,1.3995,0.0522,1.4632,before,3.6522,1.4232,31668810.2
1.5214,19960927,0.15,000005.SZE,88129.0,6.9964,1.4632,1.4556,0.0453,1.4998,before,2.5168,1.4729,53566917.2
1.5614,19961003,0.08,000005.SZE,87615.0,6.9556,1.4998,1.4977,0.0426,1.5193,before,1.3093,1.5171,54699980.5
1.5365,19961004,0.06,000005.SZE,65451.0,5.196000000000001,1.5193,1.4772,0.0388,1.5344,before,0.9693,1.5171,40367260.7
1.6693,19961007,0.39,000005.SZE,195556.0,15.5248,1.5344,1.5365,0.0864,1.6293,before,6.24,1.5409,127749280.0
1.6444,19961008,-0.04,000005.SZE,127041.0,10.0855,1.6293,1.5462,0.0602,1.6196,before,-0.6024,1.6326,82639899.5
1.639,19961009,-0.21,000005.SZE,139782.0,11.097000000000001,1.6196,1.5409,0.0606,1.5689,before,-3.1818,1.6196,90716635.7
1.6099,19961010,0.16,000005.SZE,83144.0,6.6006,1.5689,1.5409,0.0438,1.6078,before,2.5039,1.5581,53524286.8
1.6811,19961011,0.21,000005.SZE,176980.0,14.0501,1.6078,1.5959,0.0534,1.6595,before,3.2061,1.6196,117904429.6
1.8408,19961014,0.62,000005.SZE,281087.0,22.3149,1.6595,1.7426,0.0592,1.8117,before,9.1716,1.7448,205280665.3
1.9584,19961015,0.51,000005.SZE,283034.0,22.4695,1.8117,1.7869,0.0949,1.9369,before,6.9106,1.8117,215325245.2
2.0124,19961016,-0.24,000005.SZE,235177.0,18.6702,1.9369,1.8311,0.0938,1.8775,before,-3.0418,1.9638,185064446.1
2.062,19961017,0.66,000005.SZE,311472.0,24.7271,1.8775,1.8754,0.0993,2.0394,before,8.6275,1.8797,256424415.4
2.1602,19961018,-0.41,000005.SZE,203209.0,16.1323,2.0394,1.9142,0.1203,1.939,before,-4.9338,2.0858,169090263.9
2.4548,19961021,2.0,000005.SZE,398294.0,31.6197,1.939,1.9876,0.2405,2.43,before,25.3165,1.9876,366953613.9
2.4418,19961022,-0.64,000005.SZE,292026.0,23.1833,2.43,2.1106,0.1364,2.2724,before,-6.4646,2.2045,270818475.6
2.5767,19961023,1.08,000005.SZE,325144.0,25.8125,2.2724,2.2972,0.1231,2.5379,before,11.6631,2.307,328354630.6
2.6684,19961024,-0.05,000005.SZE,201523.0,15.9985,2.5379,2.4548,0.0841,2.526,before,-0.4836,2.6361,208182160.4
2.553,19961025,-0.1,000005.SZE,162893.0,12.9317,2.526,2.4052,0.0583,2.5012,before,-0.9718,2.5033,163531222.6
2.6512,19961028,0.36,000005.SZE,180036.0,14.2927,2.5012,2.4569,0.0775,2.5897,before,3.5329,2.4569,188890439.6
2.7709,19961029,0.25,000005.SZE,209317.0,16.6172,2.5897,2.4548,0.1223,2.6512,before,2.3697,2.6210000000000004,223503971.2
2.7364,19961030,-0.4,000005.SZE,135971.0,10.7944,2.6512,2.499,0.0898,2.553,before,-3.7037,2.6879,143285769.1
2.6630000000000003,19961031,0.34,000005.SZE,102154.0,8.1098,2.553,2.499,0.0644,2.6361,before,3.2692,2.5595,107160496.4
2.6015,19961101,-0.65,000005.SZE,135458.0,10.7537,2.6361,2.4052,0.0745,2.4764,before,-6.0521,2.5131,137063542.9
2.5163,19961104,0.07,000005.SZE,76039.0,6.0366,2.4764,2.43,0.0347,2.4936,before,0.6938,2.5033,76711317.4
